TIME,Process_69a,Process_69b,Process_96-97a,Process_96-97b,Process_131a,Process_131b,Process_131c,Process_131d,Process_131e,Process_131f,Process_131g,Process_131h,Process_131i,Process_131j
163,183.3313,185.03612,210.2644,203.3065,181.76331,174.2057,169.20508,166.50887,159.06984,162.89766,150.07913,140.01962,135.19919,131.10289
164,183.06689,185.1627,210.1777,203.2517,181.71126,174.15556,169.202,166.4399,159.0076,162.84814,150.03152,139.9753,135.15364,131.07248
165,182.73073,185.43762,210.1851,203.236,181.69344,174.19061,169.17798,166.43748,159.02055,162.87517,150.02267,139.97284,135.12091,131.10222
166,182.29521,185.94684,210.1397,203.2293,181.72731,174.13646,169.19489,166.43196,158.97107,162.8466,150.01823,139.98833,135.09706,131.04723
167,182.32814,186.53323,210.104,203.2492,181.75443,174.17638,169.22083,166.43201,158.99765,162.83333,150.03717,140.01289,135.12035,131.07454
168,182.56236,187.04207,210.0968,203.2569,181.75949,174.20312,169.22055,166.37682,158.97054,162.83694,149.9843,140.01086,135.07344,131.04111
169,182.85959,187.24615,210.0499,203.2397,181.73949,174.20287,169.21664,166.35178,158.93306,162.79622,149.95139,139.97173,135.0645,131.01053
170,183.2961,187.3029,210.0253,203.2955,181.72975,174.24181,169.19325,166.34439,158.90135,162.81454,149.91502,139.98367,135.06754,130.98241
171,183.0789,186.76929,209.9835,203.3129,181.74564,174.25943,169.25806,166.36668,158.85725,162.78484,149.91586,140.02132,135.06772,130.95973
172,183.27533,186.46548,209.9557,203.3426,181.66173,174.24144,169.20982,166.32494,158.83057,162.75958,149.87788,140.00723,135.0603,130.97475
173,183.75928,186.10938,209.9316,203.3861,181.69942,174.25916,169.22318,166.33621,158.83994,162.78224,149.88742,140.06819,135.0444,130.94052
174,184.01253,185.74564,209.9275,203.4337,181.67178,174.25557,169.26996,166.30722,158.82478,162.77652,149.87485,140.00662,135.04393,130.97231
175,183.60881,185.56575,209.9077,203.4709,181.61465,174.27689,169.24847,166.29918,158.81427,162.78378,149.83829,140.01508,135.06209,130.96637
176,183.21652,185.27051,209.8958,203.5094,181.60837,174.2726,169.23984,166.31975,158.77414,162.7238,149.80106,139.97934,135.04745,130.89378
177,183.10341,185.14949,209.9252,203.5541,181.57089,174.29774,169.27441,166.26524,158.74367,162.71471,149.7858,139.96967,135.0247,130.89032
178,183.0779,185.0508,209.9324,203.5481,181.57944,174.29543,169.24138,166.23187,158.73312,162.68886,149.7561,139.95256,134.98566,130.8589
179,182.95113,185.16042,209.9154,203.5425,181.58148,174.30261,169.22197,166.24338,158.75516,162.71442,149.70865,139.93768,135.00691,130.88118
180,182.40282,185.76436,210.0261,203.6472,181.60597,174.30554,169.19543,166.26329,158.73952,162.71497,149.67116,139.90959,135.00867,130.8548
181,182.12044,186.45573,210.02,203.6621,181.63771,174.30568,169.22557,166.29413,158.70665,162.69235,149.6635,139.91106,134.98425,130.85847
182,182.60016,186.85258,210.024,203.6536,181.5802,174.2411,169.2269,166.29582,158.68867,162.68176,149.62062,139.89288,134.96165,130.8089
183,183.01807,186.95369,210.0795,203.6953,181.65176,174.27803,169.285,166.30072,158.70821,162.69395,149.63188,139.89232,134.98041,130.87271
184,183.27228,186.73972,210.1351,203.729,181.65979,174.28535,169.24986,166.28069,158.73959,162.66888,149.64128,139.87801,134.98045,130.86996
185,183.48863,186.59512,210.1442,203.7428,181.67175,174.24376,169.22432,166.24295,158.6813,162.59836,149.61794,139.82771,134.91719,130.82227
186,183.48662,186.25204,210.2018,203.7847,181.66107,174.28807,169.26572,166.25282,158.68616,162.61823,149.67502,139.83679,134.92029,130.8709
187,183.83394,185.87997,210.2159,203.8004,181.62634,174.28531,169.24388,166.24875,158.64368,162.56267,149.65704,139.85522,134.84282,130.81766
188,183.98126,185.51562,210.2404,203.81,181.67969,174.30252,169.25246,166.30504,158.7149,162.60825,149.68506,139.88332,134.88487,130.82953
189,183.60741,185.42908,210.271,203.8566,181.68633,174.32503,169.21443,166.32462,158.70834,162.61266,149.69357,139.9469,134.8577,130.83965
190,183.09322,185.68446,210.2872,203.8893,181.66829,174.32497,169.23824,166.30931,158.71924,162.58589,149.68578,139.93828,134.86972,130.74654
